_id,HBR,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,DeathsAgeUnder5,DeathsAge5To9,DeathsAge10To14,DeathsAge15To19,DeathsAge20To24,DeathsAge25To29,DeathsAge30To34,DeathsAge35To39,DeathsAge40To44,DeathsAge45To49,DeathsAge50To54,DeathsAge55To59,DeathsAge60To64,DeathsAge65To69,DeathsAge70To74,DeathsAge75To79,DeathsAge80To84,DeathsAge85To89,DeathsAge90AndOver,DeathsAllAges,MortalityRateAgeUnder5,MortalityRateAge5To9,MortalityRateAge10To14,MortalityRateAge15To19,MortalityRateAge20To24,MortalityRateAge25To29,MortalityRateAge30To34,MortalityRateAge35To39,MortalityRateAge40To44,MortalityRateAge45To49,MortalityRateAge50To54,MortalityRateAge55To59,MortalityRateAge60To64,MortalityRateAge65To69,MortalityRateAge70To74,MortalityRateAge75To79,MortalityRateAge80To84,MortalityRateAge85To89,MortalityRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedMortalityRatio,SMRLower95pcConfidenceInterval,SMRUpper95pcConfidenceInterval
1,S08000015,"C00-C97, excluding C44",All cancer types,All,d,2014-2018,2,4,3,3,7,11,15,20,56,111,202,315,470,778,1059,1089,1025,684,421,6275,2.152319663,3.997921081,3.081727411,2.921243281,6.587739276,10.84898217,15.4362278,20.54316118,50.38327275,81.2252574,138.8144422,230.24801,376.1534706,625.6332728,1031.178796,1429.527823,1911.101167,2330.414637,2652.135568,338.7552163,330.4248593,347.2424887,321.692818,313.5722013, ,329.9158013, ,121.1524987,117.7432682, ,124.6097077, ,100.0542969,97.59385354,102.5610865
2,S08000015,"C00-C97, excluding C44",All cancer types,Male, ,2014-2018,2,2,1,0,4,4,5,12,20,58,82,157,247,441,562,589,559,329,169,3243,4.180864185,3.916116779,2.0255626,0,7.380754682,8.05931657,10.91989167,26.22091118,38.28703792,90.52881314,118.4680064,238.5075806,413.0572929,738.5821233,1167.501091,1712.15953,2482.458478,3001.824818,3665.943601,365.3080167,352.8421941,378.1018023,372.8355197,359.7697419, ,386.1310871, ,135.2878823,130.1607109, ,140.5127126, ,99.38480824,95.99338695,102.8654543
3,S08000015,"C00-C97, excluding C44",All cancer types,Female, ,2014-2018,0,2,2,3,3,7,10,8,36,53,120,158,223,337,497,500,466,355,252,3032,0,4.083215941,4.168490381,5.989219405,5.762249582,13.52395672,19.46055346,15.50658061,61.10913072,73.01381752,157.2718575,222.5885071,342.2817762,521.3086859,910.9070582,1196.802145,1497.621802,1930.291991,2237.215909,314.31871,303.2291874,325.7101173,270.5501163,260.9721078, ,280.2983243, ,107.0171152,102.5523313, ,111.5757008, ,100.7804315,97.22478292,104.4328738
4,S08000015,C00-C97,All cancer types incl NMSC,All,d,2014-2018,2,4,3,3,7,11,15,20,56,112,202,316,470,779,1064,1101,1030,693,429,6317,2.152319663,3.997921081,3.081727411,2.921243281,6.587739276,10.84898217,15.4362278,20.54316118,50.38327275,81.95701647,138.8144422,230.9789561,376.1534706,626.4374286,1036.04744,1445.280195,1920.423612,2361.077987,2702.532443,341.0225819,332.6642213,349.5378557,324.1504858,315.9929712, ,332.4105123, ,121.7876027,118.3718915, ,125.2512216, ,100.1350242,97.680745,102.6353782
5,S08000015,C00-C97,All cancer types incl NMSC,Male, ,2014-2018,2,2,1,0,4,4,5,12,20,59,82,158,247,442,564,600,563,334,173,3272,4.180864185,3.916116779,2.0255626,0,7.380754682,8.05931657,10.91989167,26.22091118,38.28703792,92.08965474,118.4680064,240.0267372,413.0572929,740.2569127,1171.655899,1744.135345,2500.222045,3047.445255,3752.711497,368.5747242,356.0528099,381.4245929,376.6184849,363.4756443, ,389.991481, ,136.2732322,131.1315304, ,141.5124288, ,99.48956472,96.10951796,102.9581364
6,S08000015,C00-C97,All cancer types incl NMSC,Female, ,2014-2018,0,2,2,3,3,7,10,8,36,53,120,158,223,337,500,501,467,359,256,3045,0,4.083215941,4.168490381,5.989219405,5.762249582,13.52395672,19.46055346,15.50658061,61.10913072,73.01381752,157.2718575,222.5885071,342.2817762,521.3086859,916.4054911,1199.195749,1500.835583,1952.04176,2272.727273,315.6663826,304.5529,327.0817459,271.6824868,262.0848199, ,281.4503337, ,107.3019733,102.8340903, ,111.863535, ,100.8380022,97.28785733,104.4845812
7,S08000015,C67,Bladder,All,d,2014-2018,0,0,0,0,0,0,1,0,3,4,1,2,14,16,39,34,42,35,21,212,0,0,0,0,0,0,1.029081853,0,2.699103898,2.927036303,0.687200209,1.461892127,11.20457147,12.86649404,37.97542309,44.63172265,78.30853563,119.246363,132.2917979,11.44479775,9.95595502,13.09348531,11.69709756,10.11669166, ,13.39052477, ,3.736170498,3.189611296, ,4.325317082, ,107.843665,93.81438638,123.3791522
8,S08000015,C67,Bladder,Male, ,2014-2018,0,0,0,0,0,0,0,0,1,2,1,0,12,10,25,20,28,22,13,134,0,0,0,0,0,0,0,0,1.914351896,3.121683212,1.444731786,0,20.06756079,16.74789395,51.9351019,58.13784483,124.3449685,200.729927,281.9956616,15.09444164,12.64703033,17.87729263,16.44064012,13.68237077, ,19.44842344, ,5.045299601,4.158828744, ,6.016139516, ,106.2907889,89.05681067,125.8868385
9,S08000015,C67,Bladder,Female, ,2014-2018,0,0,0,0,0,0,1,0,2,2,0,2,2,6,14,14,14,13,8,78,0,0,0,0,0,0,1.946055346,0,3.394951707,2.755238397,0,2.817576039,3.069791715,9.281460283,25.65935375,33.51046005,44.99292968,70.68674895,71.02272727,8.086035417,6.391675448,10.09173815,6.953555004,5.489974368, ,8.587464425, ,2.427041396,1.81768762, ,3.12312793, ,110.6200861,87.44058764,138.0588738
10,S08000015,C40-C41,Bone and articular cartilage,All,d,2014-2018,0,0,0,0,0,1,0,1,1,2,1,1,0,1,3,4,2,2,0,19,0,0,0,0,0,0.986271106,0,1.027158059,0.899701299,1.463518151,0.687200209,0.730946063,0,0.804155878,2.921186391,5.2507909,3.728977887,6.814077885,0,1.025713006,0.617546233,1.601777915,0.983370221, ,z, ,z,0.519108252, ,z, ,z,144.923461,87.25339054,226.3159363
