_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
1,2012Q1,S08000015,S08000015,"",Breast,"",533,"",525,""
2,2012Q1,S08000015,S08000015,"",Cervical,"",352,"",353,""
3,2012Q1,S08000015,S08000015,"",Colorectal,"",447,"",450,""
4,2012Q1,S08000015,S08000015,"",Head & Neck,"",13,"",14,""
5,2012Q1,S08000015,S08000015,"",Lung,"",440,"",441,""
6,2012Q1,S08000015,S08000015,"",Lymphoma,"",209,"",210,""
7,2012Q1,S08000015,S08000015,"",Melanoma,"",81,"",97,""
8,2012Q1,S08000015,S08000015,"",Ovarian,"",483,"",479,""
9,2012Q1,S08000015,S08000015,"",Upper GI,"",218,"",221,""
10,2012Q1,S08000015,S08000015,"",Urological,"",501,"",489,""
11,2012Q1,S08000015,S08000015,"",All Cancer Types,d,296,"",302,""
12,2012Q1,S08000015,S08000017,"",Breast,"",157,"",158,""
13,2012Q1,S08000015,S08000017,"",All Cancer Types,d,157,"",158,""
14,2012Q1,S08000015,S08000020,"",Lung,"",1,"",2,""
15,2012Q1,S08000015,S08000020,"",All Cancer Types,d,1,"",2,""
16,2012Q1,S08000015,S08000031,"",Breast,"",538,"",527,""
17,2012Q1,S08000015,S08000031,"",Cervical,"",1,"",2,""
18,2012Q1,S08000015,S08000031,"",Colorectal,"",260,"",158,""
19,2012Q1,S08000015,S08000031,"",Head & Neck,"",483,"",424,""
20,2012Q1,S08000015,S08000031,"",Lung,"",81,"",97,""
21,2012Q1,S08000015,S08000031,"",Melanoma,"",157,"",158,""
22,2012Q1,S08000015,S08000031,"",Ovarian,"",483,"",479,""
23,2012Q1,S08000015,S08000031,"",Upper GI,"",105,"",114,""
24,2012Q1,S08000015,S08000031,"",Urological,"",1,"",2,""
25,2012Q1,S08000015,S08000031,"",All Cancer Types,d,474,"",462,""
26,2012Q1,S08000015,S92000003,d,Breast,"",562,"",557,""
27,2012Q1,S08000015,S92000003,d,Cervical,"",423,"",424,""
28,2012Q1,S08000015,S92000003,d,Colorectal,"",467,"",459,""
