_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
1,2012Q1,S08000015,"",S08000015,Breast,"",292,"",287,""
2,2012Q1,S08000015,"",S08000015,Cervical,"",113,"",109,""
3,2012Q1,S08000015,"",S08000015,Colorectal,"",211,"",195,""
4,2012Q1,S08000015,"",S08000015,Head & Neck,"",113,"",109,""
5,2012Q1,S08000015,"",S08000015,Lung,"",228,"",222,""
6,2012Q1,S08000015,"",S08000015,Lymphoma,"",2,"",388,""
7,2012Q1,S08000015,"",S08000015,Melanoma,"",113,"",109,""
8,2012Q1,S08000015,"",S08000015,Ovarian,"",113,"",109,""
9,2012Q1,S08000015,"",S08000015,Upper GI,"",135,"",132,""
10,2012Q1,S08000015,"",S08000015,Urological,"",29,"",14,""
11,2012Q1,S08000015,"",S08000015,All Cancer Types,d,80,"",72,""
12,2012Q1,S08000015,"",S08000017,Breast,"",113,"",109,""
13,2012Q1,S08000015,"",S08000017,All Cancer Types,d,113,"",109,""
14,2012Q1,S08000015,"",S08000020,Lung,"",1,"",2,""
15,2012Q1,S08000015,"",S08000020,All Cancer Types,d,1,"",2,""
16,2012Q1,S08000015,"",S08000031,Breast,"",284,"",203,""
17,2012Q1,S08000015,"",S08000031,Cervical,"",1,"",2,""
18,2012Q1,S08000015,"",S08000031,Colorectal,"",1,"",2,""
19,2012Q1,S08000015,"",S08000031,Head & Neck,"",1,"",2,""
20,2012Q1,S08000015,"",S08000031,Lung,"",340,"",331,""
21,2012Q1,S08000015,"",S08000031,Melanoma,"",1,"",1,""
22,2012Q1,S08000015,"",S08000031,Ovarian,"",203,"",109,""
23,2012Q1,S08000015,"",S08000031,Upper GI,"",316,"",279,""
24,2012Q1,S08000015,"",S08000031,Urological,"",1,"",2,""
25,2012Q1,S08000015,"",S08000031,All Cancer Types,d,175,"",121,""
26,2012Q1,S08000015,"",SB0801,Lung,"",113,"",109,""
27,2012Q1,S08000015,"",SB0801,All Cancer Types,d,113,"",109,""
28,2012Q1,S08000016,"",S08000016,Breast,"",316,"",306,""
29,2012Q1,S08000016,"",S08000016,Cervical,"",1,"",2,""
30,2012Q1,S08000016,"",S08000016,Colorectal,"",39,"",34,""
31,2012Q1,S08000016,"",S08000016,Head & Neck,"",1,"",2,""
32,2012Q1,S08000016,"",S08000016,Lung,"",39,"",34,""
33,2012Q1,S08000016,"",S08000016,Lymphoma,"",203,"",203,""
34,2012Q1,S08000016,"",S08000016,Melanoma,"",203,"",203,""
35,2012Q1,S08000016,"",S08000016,Ovarian,"",113,"",109,""
36,2012Q1,S08000016,"",S08000016,Upper GI,"",316,"",306,""
37,2012Q1,S08000016,"",S08000016,Urological,"",39,"",34,""
38,2012Q1,S08000016,"",S08000016,All Cancer Types,d,320,"",308,""
39,2012Q1,S08000016,"",S08000024,Breast,"",1,"",2,""
40,2012Q1,S08000016,"",S08000024,Colorectal,"",113,"",2,""
41,2012Q1,S08000016,"",S08000024,Head & Neck,"",1,"",2,""
42,2012Q1,S08000016,"",S08000024,Lung,"",203,"",203,""
43,2012Q1,S08000016,"",S08000024,Melanoma,"",1,"",2,""
44,2012Q1,S08000016,"",S08000024,Upper GI,"",1,"",2,""
45,2012Q1,S08000016,"",S08000024,Urological,"",1,"",2,""
46,2012Q1,S08000016,"",S08000024,All Cancer Types,d,2,"",388,""
47,2012Q1,S08000017,"",S08000017,Breast,"",368,"",369,""
48,2012Q1,S08000017,"",S08000017,Colorectal,"",114,"",110,""
49,2012Q1,S08000017,"",S08000017,Head & Neck,"",113,"",109,""
50,2012Q1,S08000017,"",S08000017,Lung,"",29,"",24,""
51,2012Q1,S08000017,"",S08000017,Lymphoma,"",113,"",109,""
52,2012Q1,S08000017,"",S08000017,Melanoma,"",203,"",203,""
53,2012Q1,S08000017,"",S08000017,Ovarian,"",113,"",109,""
54,2012Q1,S08000017,"",S08000017,Upper GI,"",81,"",78,""
55,2012Q1,S08000017,"",S08000017,Urological,"",81,"",78,""
56,2012Q1,S08000017,"",S08000017,All Cancer Types,d,379,"",376,""
57,2012Q1,S08000017,"",S08000024,Breast,"",203,"",203,""
58,2012Q1,S08000017,"",S08000024,Head & Neck,"",1,"",2,""
59,2012Q1,S08000017,"",S08000024,Lung,"",113,"",109,""
60,2012Q1,S08000017,"",S08000024,Melanoma,"",1,"",2,""
61,2012Q1,S08000017,"",S08000024,Ovarian,"",1,"",2,""
62,2012Q1,S08000017,"",S08000024,Upper GI,"",252,"",240,""
63,2012Q1,S08000017,"",S08000024,Urological,"",252,"",109,""
64,2012Q1,S08000017,"",S08000024,All Cancer Types,d,70,"",45,""
65,2012Q1,S08000017,"",S08000031,Head & Neck,"",113,"",109,""
66,2012Q1,S08000017,"",S08000031,All Cancer Types,d,113,"",109,""
67,2012Q1,S08000017,"",SB0801,Lung,"",1,"",2,""
68,2012Q1,S08000017,"",SB0801,All Cancer Types,d,1,"",2,""
69,2012Q1,S08000019,"",S08000019,Breast,"",166,"",121,""
70,2012Q1,S08000019,"",S08000019,Colorectal,"",135,"",110,""
71,2012Q1,S08000019,"",S08000019,Head & Neck,"",113,"",109,""
72,2012Q1,S08000019,"",S08000019,Lung,"",156,"",153,""
73,2012Q1,S08000019,"",S08000019,Lymphoma,"",284,"",279,""
74,2012Q1,S08000019,"",S08000019,Melanoma,"",284,"",279,""
75,2012Q1,S08000019,"",S08000019,Ovarian,"",1,"",2,""
76,2012Q1,S08000019,"",S08000019,Upper GI,"",70,"",67,""
77,2012Q1,S08000019,"",S08000019,Urological,"",236,"",204,""
78,2012Q1,S08000019,"",S08000019,All Cancer Types,d,44,"",29,""
79,2012Q1,S08000019,"",S08000024,Lung,"",1,"",2,""
80,2012Q1,S08000019,"",S08000024,All Cancer Types,d,1,"",2,""
81,2012Q1,S08000019,"",S08000031,Breast,"",113,"",109,""
82,2012Q1,S08000019,"",S08000031,Cervical,"",1,"",2,""
83,2012Q1,S08000019,"",S08000031,Colorectal,"",1,"",2,""
84,2012Q1,S08000019,"",S08000031,Head & Neck,"",252,"",203,""
85,2012Q1,S08000019,"",S08000031,Lung,"",59,"",45,""
86,2012Q1,S08000019,"",S08000031,Ovarian,"",203,"",203,""
87,2012Q1,S08000019,"",S08000031,Upper GI,"",252,"",240,""
88,2012Q1,S08000019,"",S08000031,All Cancer Types,d,204,"",187,""
89,2012Q1,S08000019,"",SB0801,Lung,"",203,"",203,""
90,2012Q1,S08000019,"",SB0801,All Cancer Types,d,203,"",203,""
91,2012Q1,S08000020,"",S08000020,Breast,"",386,"",384,""
92,2012Q1,S08000020,"",S08000020,Cervical,"",252,"",240,""
93,2012Q1,S08000020,"",S08000020,Colorectal,"",265,"",217,""
94,2012Q1,S08000020,"",S08000020,Head & Neck,"",2,"",388,""
95,2012Q1,S08000020,"",S08000020,Lung,"",269,"",246,""
96,2012Q1,S08000020,"",S08000020,Lymphoma,"",284,"",109,""
97,2012Q1,S08000020,"",S08000020,Melanoma,"",396,"",388,""
98,2012Q1,S08000020,"",S08000020,Ovarian,"",396,"",388,""
99,2012Q1,S08000020,"",S08000020,Upper GI,"",185,"",161,""
100,2012Q1,S08000020,"",S08000020,Urological,"",257,"",231,""
101,2012Q1,S08000020,"",S08000020,All Cancer Types,d,191,"",166,""
102,2012Q1,S08000022,"",S08000020,Head & Neck,"",1,"",2,""
103,2012Q1,S08000022,"",S08000020,All Cancer Types,d,1,"",2,""
104,2012Q1,S08000022,"",S08000022,Breast,"",236,"",231,""
105,2012Q1,S08000022,"",S08000022,Cervical,"",203,"",203,""
106,2012Q1,S08000022,"",S08000022,Colorectal,"",204,"",180,""
107,2012Q1,S08000022,"",S08000022,Head & Neck,"",368,"",331,""
108,2012Q1,S08000022,"",S08000022,Lung,"",175,"",161,""
109,2012Q1,S08000022,"",S08000022,Lymphoma,"",284,"",279,""
110,2012Q1,S08000022,"",S08000022,Melanoma,"",368,"",369,""
111,2012Q1,S08000022,"",S08000022,Ovarian,"",113,"",109,""
112,2012Q1,S08000022,"",S08000022,Upper GI,"",102,"",99,""
113,2012Q1,S08000022,"",S08000022,Urological,"",70,"",56,""
114,2012Q1,S08000022,"",S08000022,All Cancer Types,d,63,"",53,""
115,2012Q1,S08000022,"",S08000024,Breast,"",1,"",2,""
116,2012Q1,S08000022,"",S08000024,Melanoma,"",1,"",2,""
117,2012Q1,S08000022,"",S08000024,All Cancer Types,d,113,"",109,""
118,2012Q1,S08000022,"",S08000031,Lung,"",203,"",203,""
119,2012Q1,S08000022,"",S08000031,Upper GI,"",1,"",2,""
120,2012Q1,S08000022,"",S08000031,Urological,"",113,"",109,""
121,2012Q1,S08000022,"",S08000031,All Cancer Types,d,316,"",306,""
122,2012Q1,S08000024,"",S08000016,Breast,"",252,"",240,""
123,2012Q1,S08000024,"",S08000016,All Cancer Types,d,252,"",240,""
124,2012Q1,S08000024,"",S08000019,Breast,"",1,"",2,""
125,2012Q1,S08000024,"",S08000019,All Cancer Types,d,1,"",2,""
126,2012Q1,S08000024,"",S08000024,Breast,"",72,"",69,""
127,2012Q1,S08000024,"",S08000024,Cervical,"",113,"",109,""
128,2012Q1,S08000024,"",S08000024,Colorectal,"",412,"",393,""
129,2012Q1,S08000024,"",S08000024,Head & Neck,"",70,"",45,""
130,2012Q1,S08000024,"",S08000024,Lung,"",5,"",394,""
131,2012Q1,S08000024,"",S08000024,Lymphoma,"",48,"",45,""
132,2012Q1,S08000024,"",S08000024,Melanoma,"",145,"",132,""
133,2012Q1,S08000024,"",S08000024,Ovarian,"",39,"",24,""
134,2012Q1,S08000024,"",S08000024,Upper GI,"",219,"",217,""
135,2012Q1,S08000024,"",S08000024,Urological,"",407,"",381,""
136,2012Q1,S08000024,"",S08000024,All Cancer Types,d,302,"",292,""
137,2012Q1,S08000024,"",S08000029,Breast,"",203,"",203,""
138,2012Q1,S08000024,"",S08000029,All Cancer Types,d,203,"",203,""
139,2012Q1,S08000025,"",S08000020,Breast,"",1,"",2,""
140,2012Q1,S08000025,"",S08000020,Colorectal,"",113,"",2,""
